Market Price Type,Center,Variety Name,Grade,Unit,Max Price,Average Price,Min Price
Farm Price,CAMERON HIGHLANDS,DAUN BAWANG,F.A.Q,100 KG,400.00,390.00,380.00
Farm Price,CAMERON HIGHLANDS,DAUN SUP (TANAH TINGGI),F.A.Q,100 KG,660.00,650.00,640.00
Farm Price,CAMERON HIGHLANDS,KACANG BUNCIS,F.A.Q,100 KG,700.00,690.00,680.00
Farm Price,CAMERON HIGHLANDS,KUBIS BULAT (TANAH TINGGI),F.A.Q,100 KG,350.00,340.00,330.00
Farm Price,CAMERON HIGHLANDS,TERUNG PEPARU PANJANG TANAH TINGGI,F.A.Q,100 KG,570.00,560.00,550.00
Farm Price,KUANTAN,TOMATO (TANAH TINGGI),F.A.Q,100 KG,260.00,250.00,240.00
Farm Price,KUANTAN,AYAM HIDUP,F.A.Q,100 KG,560.00,560.00,560.00
Farm Price,KUANTAN,BAYAM ,F.A.Q,100 KG,150.00,150.00,150.00
Farm Price,KUANTAN,BELIMBING (B10),F.A.Q,100 KG,350.00,350.00,350.00
Farm Price,KUANTAN,BETIK SEKAKI,F.A.Q,100 KG,120.00,120.00,120.00
Farm Price,KUANTAN,BUNGA KANTAN,F.A.Q,TANGKAI,.70,.70,.70
Farm Price,KUANTAN,CILI HIJAU,F.A.Q,100 KG,700.00,700.00,650.00
Farm Price,KUANTAN,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1100.00,1050.00,1000.00
Farm Price,KUANTAN,CILI MERAH MINYAK,F.A.Q,100 KG,850.00,750.00,750.00
Farm Price,KUANTAN,KACANG BENDI,F.A.Q,100 KG,600.00,600.00,500.00
Farm Price,KUANTAN,KACANG PANJANG HIJAU,F.A.Q,100 KG,500.00,400.00,400.00
Farm Price,KUANTAN,KANGKUNG,F.A.Q,100 KG,150.00,150.00,150.00
Farm Price,KUANTAN,KETOLA / PETOLA SEGI,F.A.Q,100 KG,300.00,300.00,200.00
Farm Price,KUANTAN,PISANG BERANGAN,F.A.Q,100 KG,200.00,200.00,200.00
Farm Price,KUANTAN,PISANG MAS,F.A.Q,100 KG,200.00,200.00,200.00
Farm Price,KUANTAN,SAWI HIJAU,F.A.Q,100 KG,300.00,250.00,250.00
Farm Price,KUANTAN,TELUR AYAM,A,100 BIJI,39.00,39.00,39.00
Farm Price,KUANTAN,TELUR AYAM,B,100 BIJI,37.00,37.00,37.00
Farm Price,KUANTAN,TELUR AYAM,C,100 BIJI,35.00,35.00,35.00
Farm Price,KUANTAN,TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,120.00,120.00,120.00
Farm Price,KUANTAN,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,500.00,500.00,500.00
Farm Price,SEBERANG PERAI UTARA,TIMUN HIJAU ,F.A.Q,100 KG,200.00,200.00,200.00
Farm Price,SEBERANG PERAI UTARA,AYAM HIDUP,F.A.Q,100 KG,610.00,607.50,605.00
Farm Price,SEBERANG PERAI UTARA,BAYAM ,F.A.Q,100 KG,150.00,130.00,120.00
Farm Price,SEBERANG PERAI UTARA,BETIK SEKAKI,F.A.Q,100 KG,240.00,230.00,220.00
Farm Price,SEBERANG PERAI UTARA,BUNGA KANTAN,F.A.Q,TANGKAI,.45,.43,.40
Farm Price,SEBERANG PERAI UTARA,CILI HIJAU,F.A.Q,100 KG,600.00,575.00,550.00
Farm Price,SEBERANG PERAI UTARA,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1050.00,975.00,900.00
Farm Price,SEBERANG PERAI UTARA,KACANG BENDI,F.A.Q,100 KG,600.00,550.00,500.00
Farm Price,SEBERANG PERAI UTARA,KACANG PANJANG HIJAU,F.A.Q,100 KG,600.00,580.00,550.00
Farm Price,SEBERANG PERAI UTARA,KANGKUNG,F.A.Q,100 KG,130.00,125.00,120.00
Farm Price,SEBERANG PERAI UTARA,KETOLA / PETOLA SEGI,F.A.Q,100 KG,160.00,155.00,150.00
Farm Price,SEBERANG PERAI UTARA,PISANG BERANGAN,F.A.Q,100 KG,280.00,270.00,260.00
Farm Price,SEBERANG PERAI UTARA,PISANG MAS,F.A.Q,100 KG,300.00,290.00,280.00
Farm Price,SEBERANG PERAI UTARA,SAWI HIJAU,F.A.Q,100 KG,160.00,150.00,140.00
Farm Price,SEBERANG PERAI UTARA,TELUR AYAM,A,100 BIJI,39.00,39.00,39.00
Farm Price,SEBERANG PERAI UTARA,TELUR AYAM,B,100 BIJI,37.00,37.00,37.00
Farm Price,SEBERANG PERAI UTARA,TELUR AYAM,C,100 BIJI,35.00,35.00,35.00
Farm Price,SEBERANG PERAI UTARA,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,560.00,550.00,530.00
Farm Price,MANJUNG (DINDING),TIMUN HIJAU ,F.A.Q,100 KG,370.00,350.00,330.00
Farm Price,KINTA,KELAPA DIKUPAS,SEDANG,100 BIJI,170.00,170.00,170.00
Farm Price,KINTA,AYAM HIDUP,F.A.Q,100 KG,650.00,650.00,650.00
Farm Price,KINTA,BAYAM ,F.A.Q,100 KG,120.00,80.00,70.00
Farm Price,KINTA,BELIMBING (B10),F.A.Q,100 KG,220.00,180.00,165.00
Farm Price,KINTA,BETIK SEKAKI,F.A.Q,100 KG,200.00,180.00,130.00
Farm Price,KINTA,BUNGA KANTAN,F.A.Q,TANGKAI,.50,.40,.35
Farm Price,KINTA,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,850.00,750.00,600.00
Farm Price,KINTA,KACANG BENDI,F.A.Q,100 KG,500.00,450.00,400.00
Farm Price,KINTA,KACANG BUNCIS,F.A.Q,100 KG,750.00,700.00,600.00
Farm Price,KINTA,KACANG PANJANG HIJAU,F.A.Q,100 KG,500.00,450.00,400.00
Farm Price,KINTA,KANGKUNG,F.A.Q,100 KG,120.00,80.00,70.00
Farm Price,KINTA,KETOLA / PETOLA SEGI,F.A.Q,100 KG,280.00,230.00,200.00
Farm Price,KINTA,TELUR AYAM,A,100 BIJI,39.00,39.00,39.00
Farm Price,KINTA,TELUR AYAM,B,100 BIJI,37.00,37.00,37.00
Farm Price,KINTA,TELUR AYAM,C,100 BIJI,35.00,35.00,35.00
Farm Price,HILIR PERAK,TIMUN HIJAU ,F.A.Q,100 KG,250.00,200.00,150.00
Farm Price,PERAK TENGAH,CILI HIJAU,F.A.Q,100 KG,480.00,400.00,350.00
Farm Price,PERAK TENGAH,PISANG BERANGAN,F.A.Q,100 KG,220.00,220.00,200.00
Farm Price,PERLIS,PISANG MAS,F.A.Q,100 KG,200.00,200.00,180.00
Farm Price,PERLIS,AYAM HIDUP,F.A.Q,100 KG,560.00,560.00,560.00
Farm Price,PERLIS,BAYAM ,F.A.Q,100 KG,300.00,300.00,300.00
Farm Price,PERLIS,BETIK SEKAKI,F.A.Q,100 KG,200.00,200.00,200.00
Farm Price,PERLIS,BUNGA KANTAN,F.A.Q,TANGKAI,.70,.70,.70
Farm Price,PERLIS,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1100.00,1100.00,1100.00
Farm Price,PERLIS,KACANG BENDI,F.A.Q,100 KG,450.00,450.00,450.00
Farm Price,PERLIS,KACANG PANJANG HIJAU,F.A.Q,100 KG,400.00,400.00,400.00
Farm Price,PERLIS,KANGKUNG,F.A.Q,100 KG,300.00,300.00,300.00
Farm Price,PERLIS,KETOLA / PETOLA SEGI,F.A.Q,100 KG,200.00,200.00,200.00
Farm Price,PERLIS,PISANG BERANGAN,F.A.Q,100 KG,250.00,250.00,250.00
Farm Price,PERLIS,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,400.00,400.00,400.00
Farm Price,KUALA TERENGGANU,TIMUN HIJAU ,F.A.Q,100 KG,330.00,330.00,330.00
Farm Price,KUALA TERENGGANU,AYAM HIDUP,F.A.Q,100 KG,640.00,640.00,630.00
Farm Price,KUALA TERENGGANU,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1200.00,1100.00,1000.00
Farm Price,KUALA TERENGGANU,KACANG PANJANG HIJAU,F.A.Q,100 KG,600.00,600.00,600.00
Farm Price,KUALA TERENGGANU,KANGKUNG,F.A.Q,100 KG,450.00,400.00,300.00
Farm Price,KUALA TERENGGANU,SAWI HIJAU,F.A.Q,100 KG,600.00,550.00,500.00
Farm Price,KUALA TERENGGANU,TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,200.00,200.00,180.00
Farm Price,KUALA TERENGGANU,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,600.00,500.00,60.00
Farm Price,KOTA KINABALU,TIMUN HIJAU ,F.A.Q,100 KG,250.00,250.00,200.00
Farm Price,KOTA KINABALU,BAYAM ,F.A.Q,100 KG,160.00,150.00,150.00
Farm Price,KOTA KINABALU,BELIMBING (B10),F.A.Q,100 KG,250.00,250.00,200.00
Farm Price,KOTA KINABALU,BETIK SEKAKI,F.A.Q,100 KG,120.00,120.00,100.00
Farm Price,KOTA KINABALU,BUNGA KANTAN,F.A.Q,TANGKAI,1.00,.90,.90
Farm Price,KOTA KINABALU,CILI HIJAU,F.A.Q,100 KG,1350.00,1300.00,1300.00
Farm Price,KOTA KINABALU,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1300.00,1300.00,1250.00
Farm Price,KOTA KINABALU,CILI MERAH MINYAK,F.A.Q,100 KG,1300.00,1300.00,1250.00
Farm Price,KOTA KINABALU,DAUN BAWANG,F.A.Q,100 KG,500.00,500.00,450.00
Farm Price,KOTA KINABALU,DAUN SUP (TANAH TINGGI),F.A.Q,100 KG,650.00,600.00,600.00
Farm Price,KOTA KINABALU,KACANG BENDI,F.A.Q,100 KG,200.00,200.00,180.00
Farm Price,KOTA KINABALU,KACANG BUNCIS,F.A.Q,100 KG,450.00,400.00,400.00
Farm Price,KOTA KINABALU,KACANG PANJANG HIJAU,F.A.Q,100 KG,200.00,200.00,150.00
Farm Price,KOTA KINABALU,KANGKUNG,F.A.Q,100 KG,120.00,100.00,100.00
Farm Price,KOTA KINABALU,KELAPA DIKUPAS,SEDANG,100 BIJI,120.00,100.00,100.00
Farm Price,KOTA KINABALU,KETOLA / PETOLA SEGI,F.A.Q,100 KG,160.00,160.00,150.00
Farm Price,KOTA KINABALU,KUBIS BULAT (TANAH TINGGI),F.A.Q,100 KG,180.00,180.00,160.00
Farm Price,KOTA KINABALU,PISANG BERANGAN,F.A.Q,100 KG,130.00,120.00,120.00
Farm Price,KOTA KINABALU,PISANG MAS,F.A.Q,100 KG,180.00,180.00,160.00
Farm Price,KOTA KINABALU,SAWI HIJAU,F.A.Q,100 KG,350.00,300.00,300.00
Farm Price,KOTA KINABALU,TELUR AYAM,A,100 BIJI,42.00,42.00,41.00
Farm Price,KOTA KINABALU,TELUR AYAM,B,100 BIJI,41.00,41.00,40.00
Farm Price,KOTA KINABALU,TELUR AYAM,C,100 BIJI,40.00,40.00,39.00
Farm Price,KOTA KINABALU,TEMBIKAI MERAH,F.A.Q,100 KG,160.00,150.00,150.00
Farm Price,KOTA KINABALU,TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,160.00,160.00,150.00
Farm Price,KOTA KINABALU,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,160.00,160.00,150.00
Farm Price,KOTA KINABALU,TIMUN HIJAU ,F.A.Q,100 KG,120.00,100.00,100.00
Farm Price,KUCHING,TOMATO (TANAH TINGGI),F.A.Q,100 KG,450.00,450.00,400.00
Farm Price,KUCHING,AYAM HIDUP,F.A.Q,100 KG,785.00,765.00,750.00
Farm Price,KUCHING,BAYAM ,F.A.Q,100 KG,400.00,400.00,400.00
Farm Price,KUCHING,BELIMBING (B10),F.A.Q,100 KG,350.00,300.00,250.00
Farm Price,KUCHING,BETIK SEKAKI,F.A.Q,100 KG,200.00,200.00,200.00
Farm Price,KUCHING,BUNGA KANTAN,F.A.Q,TANGKAI,.55,.50,.45
Farm Price,KUCHING,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,2300.00,2200.00,2100.00
Farm Price,KUCHING,DAUN BAWANG,F.A.Q,100 KG,1800.00,1800.00,1800.00
Farm Price,KUCHING,KACANG BENDI,F.A.Q,100 KG,800.00,700.00,600.00
Farm Price,KUCHING,KACANG BUNCIS,F.A.Q,100 KG,800.00,800.00,800.00
Farm Price,KUCHING,KACANG PANJANG HIJAU,F.A.Q,100 KG,450.00,450.00,450.00
Farm Price,KUCHING,KANGKUNG,F.A.Q,100 KG,300.00,250.00,200.00
Farm Price,KUCHING,KELAPA DIKUPAS,SEDANG,100 BIJI,90.00,80.00,70.00
Farm Price,KUCHING,KETOLA / PETOLA SEGI,F.A.Q,100 KG,400.00,350.00,300.00
Farm Price,KUCHING,PISANG BERANGAN,F.A.Q,100 KG,250.00,250.00,250.00
Farm Price,KUCHING,PISANG MAS,F.A.Q,100 KG,150.00,150.00,150.00
Farm Price,KUCHING,SAWI HIJAU,F.A.Q,100 KG,850.00,800.00,750.00
Farm Price,KUCHING,TELUR AYAM,A,100 BIJI,43.00,43.00,43.00
Farm Price,KUCHING,TELUR AYAM,B,100 BIJI,41.00,41.00,41.00
Farm Price,KUCHING,TELUR AYAM,C,100 BIJI,39.00,39.00,39.00
Farm Price,KUCHING,TEMBIKAI MERAH,F.A.Q,100 KG,350.00,330.00,300.00
Farm Price,KUCHING,TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,350.00,350.00,350.00
Farm Price,KUCHING,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,600.00,550.00,500.00
Farm Price,SIBU,TIMUN HIJAU ,F.A.Q,100 KG,250.00,200.00,150.00
Farm Price,SIBU,AYAM HIDUP,F.A.Q,100 KG,600.00,600.00,600.00
Farm Price,SIBU,BAYAM ,F.A.Q,100 KG,220.00,220.00,220.00
Farm Price,SIBU,BELIMBING (B10),F.A.Q,100 KG,350.00,350.00,350.00
Farm Price,SIBU,BETIK SEKAKI,F.A.Q,100 KG,250.00,250.00,250.00
Farm Price,SIBU,CILI HIJAU,F.A.Q,100 KG,500.00,500.00,500.00
Farm Price,SIBU,CILI MERAH MINYAK,F.A.Q,100 KG,500.00,500.00,500.00
Farm Price,SIBU,KACANG BENDI,F.A.Q,100 KG,200.00,200.00,200.00
Farm Price,SIBU,KACANG BUNCIS,F.A.Q,100 KG,500.00,500.00,500.00
Farm Price,SIBU,KACANG PANJANG HIJAU,F.A.Q,100 KG,400.00,400.00,400.00
Farm Price,SIBU,KANGKUNG,F.A.Q,100 KG,280.00,280.00,280.00
Farm Price,SIBU,KETOLA / PETOLA SEGI,F.A.Q,100 KG,310.00,310.00,310.00
Farm Price,SIBU,PISANG BERANGAN,F.A.Q,100 KG,290.00,290.00,290.00
Farm Price,SIBU,PISANG MAS,F.A.Q,100 KG,290.00,290.00,290.00
Farm Price,SIBU,SAWI HIJAU,F.A.Q,100 KG,330.00,330.00,330.00
Farm Price,SIBU,TELUR AYAM,A,100 BIJI,40.00,40.00,40.00
Farm Price,SIBU,TELUR AYAM,B,100 BIJI,37.00,37.00,37.00
Farm Price,SIBU,TELUR AYAM,C,100 BIJI,36.00,36.00,36.00
Farm Price,SIBU,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,510.00,510.00,510.00
Wholesale Price,JOHOR BAHRU,AYAM HIDUP,F.A.Q,KG,7.10,7.10,7.10
Wholesale Price,JOHOR BAHRU,AYAM PROSES STANDARD,F.A.Q,KG,9.10,9.00,8.90
Wholesale Price,JOHOR BAHRU,BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,5.50,5.25,5.00
Wholesale Price,JOHOR BAHRU,BAWANG BESAR MERAH (IMPORT),F.A.Q,KG,6.00,5.50,5.00
Wholesale Price,JOHOR BAHRU,BAWANG BESAR MERAH (INDIA),F.A.Q,KG,6.00,5.50,5.00
Wholesale Price,JOHOR BAHRU,BAWANG MERAH / KECIL (THAI),F.A.Q,KG,14.00,13.00,12.00
Wholesale Price,JOHOR BAHRU,BAWANG MERAH ROSE,F.A.Q,KG,14.00,13.00,12.00
Wholesale Price,JOHOR BAHRU,BAWANG PUTIH (CHINA),F.A.Q,KG,12.00,11.00,10.00
Wholesale Price,JOHOR BAHRU,BAYAM ,F.A.Q,KG,7.00,6.75,6.50
Wholesale Price,JOHOR BAHRU,BELIMBING (B10),F.A.Q,KG,8.00,7.00,6.00
Wholesale Price,JOHOR BAHRU,BETIK SEKAKI,F.A.Q,KG,4.50,4.25,4.00
Wholesale Price,JOHOR BAHRU,BUNGA KANTAN,F.A.Q,TANGKAI,1.50,1.50,1.50
Wholesale Price,JOHOR BAHRU,CILI HIJAU,F.A.Q,KG,14.00,13.50,13.00
Wholesale Price,JOHOR BAHRU,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,15.00,14.50,14.00
Wholesale Price,JOHOR BAHRU,DAUN BAWANG,F.A.Q,KG,9.00,8.50,8.00
Wholesale Price,JOHOR BAHRU,DAUN SUP (TANAH TINGGI),F.A.Q,KG,10.00,9.00,8.00
Wholesale Price,JOHOR BAHRU,KACANG BENDI,F.A.Q,KG,10.00,9.50,9.00
Wholesale Price,JOHOR BAHRU,KACANG BUNCIS,F.A.Q,KG,14.00,13.50,13.00
Wholesale Price,JOHOR BAHRU,KACANG PANJANG HIJAU,F.A.Q,KG,10.00,9.50,9.00
Wholesale Price,JOHOR BAHRU,KANGKUNG,F.A.Q,KG,7.00,6.75,6.50
Wholesale Price,JOHOR BAHRU,KELAPA DIKUPAS,SEDANG,BIJI,2.50,2.50,2.50
Wholesale Price,JOHOR BAHRU,KELAPA PARUT,F.A.Q,KG,7.20,7.20,7.20
Wholesale Price,JOHOR BAHRU,KETOLA / PETOLA SEGI,F.A.Q,KG,6.00,5.50,5.00
Wholesale Price,JOHOR BAHRU,KUBIS BULAT (CHINA),F.A.Q,KG,4.00,3.75,3.50
Wholesale Price,JOHOR BAHRU,KUBIS BULAT (INDONESIA),F.A.Q,KG,4.00,3.75,3.50
Wholesale Price,JOHOR BAHRU,KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,6.00,5.50,5.00
Wholesale Price,JOHOR BAHRU,PISANG BERANGAN,F.A.Q,KG,5.00,4.75,4.50
Wholesale Price,JOHOR BAHRU,PISANG MAS,F.A.Q,KG,5.00,4.50,4.00
Wholesale Price,JOHOR BAHRU,SANTAN BIASA,F.A.Q,KG,10.00,10.00,10.00
Wholesale Price,JOHOR BAHRU,SAWI HIJAU,F.A.Q,KG,8.00,7.50,7.00
